emp_no,first_name,last_name,title,to_date
10095,Hilari,Morton,Senior Staff,9999-01-01
10122,Ohad,Esposito,Technique Leader,9999-01-01
10291,Dipayan,Seghrouchni,Staff,9999-01-01
10410,Takahito,Gecsei,Staff,1996-07-21
10476,Kokou,Iisaka,Senior Staff,9999-01-01
10480,Make,Baba,Staff,1989-06-03
10663,Teunis,Noriega,Technique Leader,9999-01-01
10762,Lech,Himler,Senior Staff,9999-01-01
10933,Juyoung,Seghrouchni,Senior Engineer,9999-01-01
11015,Jeanna,Riesenhuber,Senior Staff,2000-02-22
11126,Hideo,Daescu,Staff,2002-04-04
11157,Mario,Cochrane,Engineer,1991-02-06
11432,Yongmao,Zwicker,Senior Engineer,1997-09-13
12155,Keiichiro,Glinert,Engineer,9999-01-01
12408,Rasiah,Sudkamp,Senior Engineer,9999-01-01
12643,Morrie,Schurmann,Staff,9999-01-01
13499,Kazuhiko,Sidou,Technique Leader,9999-01-01
13957,Angus,Chelton,Senior Engineer,1987-02-02
14075,Denny,Tchuente,Assistant Engineer,9999-01-01
14104,Sudhanshu,Demian,Senior Staff,9999-01-01
14127,Magdalena,Cannard,Engineer,9999-01-01
14158,Caolyn,Setiz,Senior Staff,9999-01-01
14476,Sastry,Marrevee,Engineer,9999-01-01
14551,Richard,Sinitsyn,Senior Staff,1993-09-16
14907,Nakhoon,Luga,Senior Staff,9999-01-01
15050,Nikolaos,Kruskal,Engineer,9999-01-01
15058,Bouchung,Bugrara,Staff,9999-01-01
15376,Geoff,Soicher,Senior Staff,2001-03-01
15413,Arvin,Rabejac,Engineer,9999-01-01
16461,Remmert,Schahn,Staff,9999-01-01
16528,Gaurav,Swick,Engineer,9999-01-01
17013,Morris,Garigliano,Staff,9999-01-01
17206,Berry,DeMori,Engineer,9999-01-01
17369,Yaghout,Kenevan,Engineer,9999-01-01
17447,Zengping,Boreale,Staff,9999-01-01
17618,Teiji,Picco,Staff,1999-11-08
17731,Gennady,Roison,Engineer,9999-01-01
17799,Gro,Gini,Engineer,2001-07-11
17970,Filipp,Carrere,Technique Leader,9999-01-01
17988,Mabhin,Calkin,Senior Engineer,9999-01-01
18021,Adil,Matzke,Engineer,9999-01-01
18187,Denis,Falster,Staff,1999-06-03
18424,Filipp,Rousseau,Engineer,9999-01-01
18583,Stafford,Honglei,Staff,9999-01-01
18617,Surveyors,Crouzet,Senior Staff,9999-01-01
18810,Taiji,Jarecki,Engineer,9999-01-01
19236,Elzbieta,Morris,Engineer,9999-01-01
19350,Satoru,Yoshizawa,Staff,9999-01-01
19803,Ziva,Kowalchuk,Senior Engineer,9999-01-01
20100,Utz,Heuter,Senior Staff,9999-01-01
20128,Kazunori,Peak,Senior Staff,9999-01-01
20129,Rafael,Skafidas,Senior Engineer,9999-01-01
20248,Vidar,Demri,Staff,9999-01-01
20313,Candida,Benveniste,Engineer,9999-01-01
20500,Christoph,Trystram,Senior Staff,9999-01-01
20712,Valeri,Escriba,Engineer,1998-05-02
20720,Heejo,Brodie,Senior Staff,1997-05-17
20885,Otmar,Rothenberg,Engineer,9999-01-01
21181,Jianhui,Cangellaris,Engineer,9999-01-01
21188,Piyush,Danecki,Engineer,9999-01-01
21534,Alagu,Luders,Staff,1997-12-14
21546,Yongmin,Lanteri,Senior Staff,9999-01-01
21843,Karsten,Azadmanesh,Senior Engineer,9999-01-01
21909,Mohammed,Brizzi,Senior Staff,9999-01-01
22027,Sangeeta,Georg,Staff,1998-03-14
22185,Huai,Birch,Assistant Engineer,9999-01-01
22415,Perla,Jumpertz,Senior Staff,9999-01-01
22451,Jasminko,Bresenham,Senior Staff,9999-01-01
22455,Barry,Unno,Staff,9999-01-01
22502,Rutger,Binkley,Senior Engineer,2001-11-02
22926,Manibrata,Genther,Engineer,9999-01-01
23396,Hilari,Fairtlough,Technique Leader,9999-01-01
24080,Jaana,Perez,Technique Leader,9999-01-01
24189,Abdelaziz,Atrawala,Staff,1997-02-23
24205,Roddy,Rubsam,Senior Engineer,9999-01-01
24377,Lubomir,Wroclawski,Engineer,9999-01-01
24394,Zhonghui,Conta,Staff,9999-01-01
24421,Dannz,Grospietsch,Senior Engineer,2000-10-12
24553,Anwar,Passafiume,Senior Staff,9999-01-01
24571,Cordelia,Gischer,Senior Engineer,9999-01-01
25488,Ingmar,Basawa,Senior Staff,9999-01-01
26476,Bilhanan,Karcich,Staff,1997-02-04
26503,Shietung,Billingsley,Senior Staff,1998-12-02
26617,Berto,Bruckman,Engineer,1994-03-27
26629,Nevin,Rodham,Senior Staff,9999-01-01
26671,Jiakeng,Kalorkoti,Engineer,9999-01-01
26788,Zongyan,Dalphin,Senior Engineer,9999-01-01
27150,Chenyi,Plump,Staff,1995-05-22
27331,Wanqing,Krohm,Staff,9999-01-01
27378,Piyawadee,Leppanen,Senior Staff,9999-01-01
27620,Shuji,Kandlur,Engineer,9999-01-01
27686,Manu,Rosiles,Senior Staff,9999-01-01
27699,Falguni,Pezzoli,Engineer,9999-01-01
27767,Tooru,Veldwijk,Staff,9999-01-01
27970,KayLiang,Miyakawa,Technique Leader,2000-02-07
28193,Xinglin,Mitsuhashi,Senior Engineer,9999-01-01
28222,Mayuko,Vitiello,Technique Leader,1995-10-16
28974,Chenxi,Sundgren,Senior Engineer,9999-01-01
28988,Tua,Giveon,Technique Leader,9999-01-01
29130,Xumin,Thorensen,Staff,9999-01-01
29265,Gilbert,Calkin,Staff,9999-01-01
29380,Satoru,Vidal,Assistant Engineer,9999-01-01
29418,Valery,Mersereau,Assistant Engineer,9999-01-01
29679,Kolar,Steenbeek,Senior Engineer,9999-01-01
29782,Jouko,Hellwagner,Senior Engineer,9999-01-01
29954,Pranay,Giarratana,Senior Engineer,9999-01-01
30007,Kousuke,Vecchio,Senior Engineer,9999-01-01
30035,Tetsushi,Conta,Senior Staff,9999-01-01
30154,Mayuko,Skafidas,Technique Leader,9999-01-01
30182,Leon,Potthoff,Engineer,9999-01-01
30465,Randi,Avouris,Engineer,9999-01-01
30484,Sailaja,Chvatal,Staff,9999-01-01
30552,Yishai,Terlouw,Senior Engineer,1999-01-07
30695,Gudjon,Majewski,Senior Engineer,9999-01-01
30938,Yakkov,Samarati,Staff,9999-01-01
31147,Divine,Sidhu,Senior Staff,9999-01-01
31170,Tuval,Waleschkowski,Senior Staff,1988-12-14
31188,Leandro,Gist,Technique Leader,9999-01-01
31207,Abdelwaheb,Dulin,Senior Engineer,9999-01-01
